Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,12.000000,13.300000,11.920000,12.950000,12.950000,1528400
2015-05-11,12.800000,17.330000,12.527000,15.620000,15.620000,390100
2015-05-18,16.110001,17.920000,15.210000,17.820000,17.820000,422800
2015-05-25,17.520000,17.980000,15.600000,17.000000,17.000000,405900
2015-06-01,17.049999,19.980000,16.500000,19.080000,19.080000,432200
2015-06-08,18.700001,19.750000,18.110001,19.190001,19.190001,565900
2015-06-15,18.690001,20.620001,18.424999,18.790001,18.790001,477400
2015-06-22,19.200001,19.480000,16.110001,18.530001,18.530001,1212900
2015-06-29,18.500000,18.549999,14.520000,16.980000,16.980000,372600
2015-07-06,16.820000,18.690001,15.770000,18.670000,18.670000,231000
2015-07-13,18.650000,19.790001,17.974001,19.360001,19.360001,299500
2015-07-20,19.750000,19.750000,18.260000,18.820000,18.820000,171000
2015-07-27,18.879999,20.160000,17.930000,20.030001,20.030001,321000
2015-08-03,20.110001,20.120001,16.545000,17.010000,17.010000,378200
2015-08-10,17.020000,18.940001,15.830000,16.760000,16.760000,300500
2015-08-17,16.559999,17.170000,13.860000,15.250000,15.250000,387200
2015-08-24,14.530000,16.500000,13.310000,15.340000,15.340000,371100
2015-08-31,15.220000,16.270000,12.580000,16.110001,16.110001,619300
2015-09-07,16.760000,16.799999,12.975000,13.450000,13.450000,413000
2015-09-14,19.209999,24.750000,17.510000,23.980000,23.980000,4463100
2015-09-21,24.459999,24.884001,20.850000,21.280001,21.280001,1133500
2015-09-28,21.030001,22.780001,18.511999,21.910000,21.910000,1007800
2015-10-05,22.219999,22.629999,19.000000,20.670000,20.670000,692100
2015-10-12,20.670000,20.670000,18.410000,19.270000,19.270000,445700
2015-10-19,19.000000,19.570000,16.320000,16.990000,16.990000,1072300
2015-10-26,16.889999,18.850000,15.510000,18.370001,18.370001,489000
2015-11-02,18.350000,22.980000,18.070000,22.090000,22.090000,503500
2015-11-09,22.580000,22.580000,18.209999,18.730000,18.730000,453900
2015-11-16,18.840000,19.000000,16.879000,18.120001,18.120001,885500
2015-11-23,18.100000,19.469999,17.959999,19.000000,19.000000,223900
2015-11-30,19.100000,23.080000,18.590000,22.850000,22.850000,397400
2015-12-07,22.750000,23.680000,20.774000,23.430000,23.430000,496200
2015-12-14,23.580000,28.500000,23.580000,25.510000,25.510000,1890600
2015-12-21,25.379999,25.959999,22.670000,25.010000,25.010000,415000
2015-12-28,24.940001,30.580000,24.320000,27.500000,27.500000,703500
2016-01-04,26.709999,28.469999,19.170000,19.719999,19.719999,2507600
2016-01-11,19.860001,19.860001,13.800000,15.570000,15.570000,2358600
2016-01-18,15.940000,17.180000,14.370000,17.059999,17.059999,1107500
2016-01-25,16.950001,17.680000,15.270000,17.030001,17.030001,1193500
2016-02-01,16.900000,21.010000,16.340000,18.750000,18.750000,1573800
2016-02-08,18.629999,19.480000,15.020000,19.040001,19.040001,1929500
2016-02-15,19.299999,21.420000,18.700001,21.170000,21.170000,1278000
2016-02-22,21.450001,21.450001,17.600000,18.809999,18.809999,898100
2016-02-29,18.559999,19.219999,16.920000,18.430000,18.430000,793300
2016-03-07,18.370001,18.777000,17.000000,17.660000,17.660000,524300
2016-03-14,17.870001,18.170000,15.061000,15.830000,15.830000,993200
2016-03-21,15.850000,17.889999,15.750000,17.129999,17.129999,594300
2016-03-28,17.219999,20.030001,16.141001,19.170000,19.170000,635700
2016-04-04,19.299999,19.900000,18.120001,18.740000,18.740000,722900
2016-04-11,18.969999,19.299999,18.049999,18.540001,18.540001,525900
2016-04-18,18.580000,19.200001,17.590000,18.830000,18.830000,722200
2016-04-25,18.840000,19.990000,17.690001,19.059999,19.059999,1802900
2016-05-02,19.110001,19.690001,14.540000,15.100000,15.100000,1190100
2016-05-09,15.210000,15.974000,14.080000,15.110000,15.110000,1078600
2016-05-16,15.280000,17.120001,15.130000,16.990000,16.990000,738600
2016-05-23,17.040001,17.490000,16.270000,16.600000,16.600000,767300
2016-05-30,16.750000,16.820000,15.600000,16.129999,16.129999,800400
2016-06-06,16.250000,17.410000,15.720000,16.170000,16.170000,587200
2016-06-13,16.049999,16.270000,14.020000,14.270000,14.270000,758400
2016-06-20,14.480000,14.715000,12.520000,12.930000,12.930000,1485000
2016-06-27,12.810000,13.050000,11.550000,12.600000,12.600000,1087600
2016-07-04,12.580000,12.940000,12.180000,12.740000,12.740000,694000
2016-07-11,12.780000,13.030000,12.110000,12.750000,12.750000,732500
2016-07-18,12.830000,13.030000,11.890000,12.230000,12.230000,448000
2016-07-25,12.210000,12.860000,11.740000,12.130000,12.130000,398700
2016-08-01,12.180000,12.530000,11.310000,12.040000,12.040000,513100
2016-08-08,12.050000,12.420000,9.350000,10.570000,10.570000,1309000
