Date,Open,High,Low,Close,Adj Close,Volume
2003-07-14,2.033333,2.033333,1.833333,1.833333,1.833333,14550
2003-07-21,1.833333,2.033333,1.800000,1.800000,1.800000,1950
2003-07-28,1.666667,1.800000,1.533333,1.800000,1.800000,30450
2003-08-04,1.800000,1.800000,1.233333,1.666667,1.666667,34200
2003-08-11,1.433333,1.733333,1.400000,1.666667,1.666667,6150
2003-08-18,1.466667,1.600000,1.466667,1.466667,1.466667,14400
2003-08-25,1.466667,1.600000,1.466667,1.466667,1.466667,8850
2003-09-01,1.466667,1.600000,1.400000,1.600000,1.600000,15150
2003-09-08,1.700000,1.733333,1.533333,1.633333,1.633333,88050
2003-09-15,1.633333,1.653333,1.466667,1.466667,1.466667,4650
2003-09-22,1.466667,1.626667,1.466667,1.566667,1.566667,7350
2003-09-29,1.566667,1.646667,1.566667,1.633333,1.633333,25200
2003-10-06,1.633333,2.000000,1.466667,2.000000,2.000000,127050
2003-10-13,1.866667,2.200000,1.766667,1.800000,1.800000,53700
2003-10-20,1.900000,1.900000,1.666667,1.813333,1.813333,17100
2003-10-27,1.766667,1.833333,1.700000,1.800000,1.800000,15000
2003-11-03,1.800000,1.933333,1.800000,1.900000,1.900000,76650
2003-11-10,1.833333,2.600000,1.800000,2.266667,2.266667,245250
2003-11-17,2.200000,2.300000,2.100000,2.200000,2.200000,272250
2003-11-24,2.200000,2.220000,2.033333,2.100000,2.100000,356850
2003-12-01,2.100000,2.266667,2.086667,2.146667,2.146667,880200
2003-12-08,2.133333,2.133333,2.000000,2.020000,2.020000,154350
2003-12-15,2.000000,2.066667,2.000000,2.013333,2.013333,82650
2003-12-22,2.013333,2.053333,2.000000,2.053333,2.053333,30900
2003-12-29,2.000000,2.086667,2.000000,2.020000,2.020000,25800
2004-01-05,2.020000,2.100000,2.020000,2.033333,2.033333,5250
2004-01-12,2.033333,2.133333,2.033333,2.106667,2.106667,19350
2004-01-19,2.100000,2.200000,2.100000,2.133333,2.133333,10500
2004-01-26,2.133333,2.233333,2.133333,2.200000,2.200000,44550
2004-02-02,2.100000,2.266667,2.100000,2.233333,2.233333,19200
2004-02-09,2.233333,2.233333,2.100000,2.233333,2.233333,22500
2004-02-16,2.200000,2.253333,2.166667,2.166667,2.166667,28050
2004-02-23,2.166667,2.266667,2.033333,2.133333,2.133333,30150
2004-03-01,2.133333,2.533333,2.133333,2.533333,2.533333,47850
2004-03-08,2.533333,2.733333,2.400000,2.666667,2.666667,42450
2004-03-15,2.700000,4.000000,2.533333,3.833333,3.833333,83400
2004-03-22,3.833333,4.333333,3.333333,4.166667,4.166667,285150
2004-03-29,4.233333,4.233333,3.566667,3.666667,3.666667,106950
2004-04-05,3.700000,3.700000,3.533333,3.533333,3.533333,33150
2004-04-12,3.566667,3.566667,3.200000,3.533333,3.533333,99900
2004-04-19,3.533333,4.033333,3.466667,4.000000,4.000000,29400
2004-04-26,4.033333,4.066667,3.533333,3.600000,3.600000,63300
2004-05-03,3.533333,3.700000,3.533333,3.533333,3.533333,6000
2004-05-10,3.533333,3.633333,3.466667,3.466667,3.466667,4050
2004-05-17,3.466667,3.733333,3.466667,3.666667,3.666667,2850
2004-05-24,3.666667,4.000000,3.466667,3.466667,3.466667,7500
2004-05-31,3.466667,3.766667,3.466667,3.666667,3.666667,7800
2004-06-07,3.666667,3.666667,3.466667,3.500000,3.500000,20550
2004-06-14,3.666667,4.000000,3.500000,3.533333,3.533333,26400
2004-06-21,3.533333,4.700000,3.533333,4.666667,4.666667,164550
2004-06-28,4.533333,4.933333,4.533333,4.666667,4.666667,210300
2004-07-05,4.566667,5.000000,4.366667,5.000000,5.000000,79650
2004-07-12,4.733333,4.733333,4.100000,4.466667,4.466667,50850
2004-07-19,4.466667,5.333333,4.233333,4.900000,4.900000,129150
2004-07-26,4.933333,5.466667,4.933333,5.000000,5.000000,85650
2004-08-02,5.006667,5.200000,4.900000,4.966667,4.966667,40350
2004-08-09,4.900000,4.900000,4.300000,4.333333,4.333333,108600
2004-08-16,4.333333,5.000000,4.133333,4.666667,4.666667,57450
2004-08-23,4.666667,4.800000,4.166667,4.366667,4.366667,66150
2004-08-30,4.400000,5.500000,4.400000,5.433333,5.433333,168600
2004-09-06,5.466667,5.466667,5.133333,5.266667,5.266667,36900
2004-09-13,5.233333,5.300000,4.666667,5.300000,5.300000,33600
2004-09-20,5.266667,5.266667,4.700000,5.166667,5.166667,70350
2004-09-27,5.133333,6.200000,5.133333,6.133333,6.133333,193500
2004-10-04,6.046667,6.800000,6.046667,6.533333,6.533333,167850
2004-10-11,6.533333,6.533333,5.333333,5.933333,5.933333,115500
